,city,latitude,longitude,Max Temp,humidity,Feels Like,cloudiness,wind speed,country name,date
129,Rørvik,64.8621,11.2373,57.18,100,55.45,75,4.61,Norway,2022-08-21 18:07:36-07:00
130,Mayumba,-3.432,10.6554,72.36,90,73.53,86,6.78,Gabon,2022-08-21 18:07:36-07:00
131,Sigli,5.3848,95.9609,79.36,79,79.36,100,4.61,Indonesia,2022-08-21 18:07:36-07:00
132,Carstairs,51.5668,-114.102,73.49,63,70.75,64,8.01,Canada,2022-08-21 18:07:37-07:00
133,Lorengau,-2.0226,147.2712,79.45,81,79.45,95,8.08,Papua New Guinea,2022-08-21 18:07:38-07:00
134,Port Hardy,50.6996,-127.4199,59.99,95,60.15,100,2.71,Canada,2022-08-21 18:07:38-07:00
135,East London,-33.0153,27.9116,60.1,58,58.53,0,9.82,South Africa,2022-08-21 18:07:39-07:00
136,San Quintín,30.4833,-115.95,71.1,77,71.53,98,7.09,Mexico,2022-08-21 18:07:39-07:00
137,Hong Kong,22.2855,114.1577,85.32,84,95.99,97,3.0,Hong Kong,2022-08-21 18:06:23-07:00
138,Larsnes,62.2028,5.5773,57.02,84,53.49,88,14.92,Norway,2022-08-21 18:07:40-07:00
139,Longyearbyen,78.2186,15.6401,42.64,81,39.06,75,5.75,Svalbard and Jan Mayen Islands,2022-08-21 18:07:40-07:00
140,Thompson,55.7435,-97.8558,73.22,38,72.03,93,11.79,Canada,2022-08-21 18:07:41-07:00
141,Hasaki,35.7333,140.8333,75.6,93,77.23,54,11.63,Japan,2022-08-21 18:07:45-07:00
142,Manta,-0.95,-80.7333,76.66,69,77.27,91,11.27,Ecuador,2022-08-21 18:07:45-07:00
143,Kulhudhuffushi,6.6221,73.07,82.54,75,88.75,49,15.95,Maldives,2022-08-21 18:07:46-07:00
144,Tieli,46.95,128.05,54.36,84,53.44,76,6.44,China,2022-08-21 18:07:46-07:00
145,Egvekinot,66.3167,-179.1667,46.22,67,46.22,1,1.81,Russia,2022-08-21 18:07:47-07:00
146,Marsh Harbour,26.5412,-77.0636,84.94,70,92.55,2,12.62,Bahamas,2022-08-21 18:07:47-07:00
147,Manga,11.6636,-1.0731,80.55,75,84.61,82,4.85,Burkina Faso,2022-08-21 18:07:48-07:00
148,Tiksi,71.6872,128.8694,40.6,91,33.53,96,12.21,Russia,2022-08-21 18:07:48-07:00
149,Meadow Lake,34.8014,-106.5436,77.68,52,73.94,35,4.43,United States,2022-08-21 18:07:49-07:00
